"Time","Source","Src Port","Destination","Dst Port","Protocol","Length","Leftover Capture Data","Info"
"2021-02-21 17:30:55.697129","1.9.1","0x00000001","host","0xffffffff","USB","72","0000160000000000","URB_INTERRUPT in"
"2021-02-21 17:30:55.888437","1.9.1","0x00000001","host","0xffffffff","USB","72","0000120000000000","URB_INTERRUPT in"
"2021-02-21 17:30:56.144410","1.9.1","0x00000001","host","0xffffffff","USB","72","00002c0000000000","URB_INTERRUPT in"
"2021-02-21 17:30:56.752634","1.9.1","0x00000001","host","0xffffffff","USB","72","0000170000000000","URB_INTERRUPT in"
"2021-02-21 17:30:57.048658","1.9.1","0x00000001","host","0xffffffff","USB","72","00000b0000000000","URB_INTERRUPT in"
"2021-02-21 17:30:57.192768","1.9.1","0x00000001","host","0xffffffff","USB","72","0000080000000000","URB_INTERRUPT in"
"2021-02-21 17:30:57.361312","1.9.1","0x00000001","host","0xffffffff","USB","72","00002c0000000000","URB_INTERRUPT in"
"2021-02-21 17:30:57.608422","1.9.1","0x00000001","host","0xffffffff","USB","72","0000040000000000","URB_INTERRUPT in"
"2021-02-21 17:30:57.873224","1.9.1","0x00000001","host","0xffffffff","USB","72","0000110000000000","URB_INTERRUPT in"
"2021-02-21 17:30:58.120763","1.9.1","0x00000001","host","0xffffffff","USB","72","0000160000000000","URB_INTERRUPT in"
"2021-02-21 17:30:58.376516","1.9.1","0x00000001","host","0xffffffff","USB","72","00001a0000000000","URB_INTERRUPT in"
"2021-02-21 17:30:58.625416","1.9.1","0x00000001","host","0xffffffff","USB","72","0000080000000000","URB_INTERRUPT in"
"2021-02-21 17:30:58.849086","1.9.1","0x00000001","host","0xffffffff","USB","72","0000150000000000","URB_INTERRUPT in"
"2021-02-21 17:30:59.024448","1.9.1","0x00000001","host","0xffffffff","USB","72","00002c0000000000","URB_INTERRUPT in"
"2021-02-21 17:30:59.296832","1.9.1","0x00000001","host","0xffffffff","USB","72","00000c0000000000","URB_INTERRUPT in"
"2021-02-21 17:30:59.448429","1.9.1","0x00000001","host","0xffffffff","USB","72","0000160000000000","URB_INTERRUPT in"
"2021-02-21 17:31:00.104806","1.9.1","0x00000001","host","0xffffffff","USB","72","00002c0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:01.617046","1.9.1","0x00000001","host","0xffffffff","USB","72","0000090000000000","URB_INTERRUPT in"
"2021-02-21 17:31:01.944949","1.9.1","0x00000001","host","0xffffffff","USB","72","00000f0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:02.216671","1.9.1","0x00000001","host","0xffffffff","USB","72","0000040000000000","URB_INTERRUPT in"
"2021-02-21 17:31:02.441108","1.9.1","0x00000001","host","0xffffffff","USB","72","00000a0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:02.848672","1.9.1","0x00000001","host","0xffffffff","USB","72","0200000000000000","URB_INTERRUPT in"
"2021-02-21 17:31:03.360656","1.9.1","0x00000001","host","0xffffffff","USB","72","02002f0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:03.416776","1.9.1","0x00000001","host","0xffffffff","USB","72","0200000000000000","URB_INTERRUPT in"
"2021-02-21 17:31:04.088431","1.9.1","0x00000001","host","0xffffffff","USB","72","0000090000000000","URB_INTERRUPT in"
"2021-02-21 17:31:04.920762","1.9.1","0x00000001","host","0xffffffff","USB","72","0000240000000000","URB_INTERRUPT in"
"2021-02-21 17:31:05.176662","1.9.1","0x00000001","host","0xffffffff","USB","72","0000240000000000","URB_INTERRUPT in"
"2021-02-21 17:31:06.233051","1.9.1","0x00000001","host","0xffffffff","USB","72","0000200000000000","URB_INTERRUPT in"
"2021-02-21 17:31:06.481205","1.9.1","0x00000001","host","0xffffffff","USB","72","0000200000000000","URB_INTERRUPT in"
"2021-02-21 17:31:07.240988","1.9.1","0x00000001","host","0xffffffff","USB","72","0000080000000000","URB_INTERRUPT in"
"2021-02-21 17:31:08.441224","1.9.1","0x00000001","host","0xffffffff","USB","72","0000270000000000","URB_INTERRUPT in"
"2021-02-21 17:31:08.680772","1.9.1","0x00000001","host","0xffffffff","USB","72","0000270000000000","URB_INTERRUPT in"
"2021-02-21 17:31:09.296952","1.9.1","0x00000001","host","0xffffffff","USB","72","0000260000000000","URB_INTERRUPT in"
"2021-02-21 17:31:10.809084","1.9.1","0x00000001","host","0xffffffff","USB","72","0000200000000000","URB_INTERRUPT in"
"2021-02-21 17:31:11.377113","1.9.1","0x00000001","host","0xffffffff","USB","72","0000050000000000","URB_INTERRUPT in"
"2021-02-21 17:31:12.656594","1.9.1","0x00000001","host","0xffffffff","USB","72","0000240000000000","URB_INTERRUPT in"
"2021-02-21 17:31:13.416830","1.9.1","0x00000001","host","0xffffffff","USB","72","0000070000000000","URB_INTERRUPT in"
"2021-02-21 17:31:15.465112","1.9.1","0x00000001","host","0xffffffff","USB","72","00001f0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:16.056833","1.9.1","0x00000001","host","0xffffffff","USB","72","0000250000000000","URB_INTERRUPT in"
"2021-02-21 17:31:17.216876","1.9.1","0x00000001","host","0xffffffff","USB","72","00001e0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:19.288643","1.9.1","0x00000001","host","0xffffffff","USB","72","0000070000000000","URB_INTERRUPT in"
"2021-02-21 17:31:19.513247","1.9.1","0x00000001","host","0xffffffff","USB","72","0000070000000000","URB_INTERRUPT in"
"2021-02-21 17:31:20.192407","1.9.1","0x00000001","host","0xffffffff","USB","72","0000270000000000","URB_INTERRUPT in"
"2021-02-21 17:31:21.184987","1.9.1","0x00000001","host","0xffffffff","USB","72","0000040000000000","URB_INTERRUPT in"
"2021-02-21 17:31:22.168419","1.9.1","0x00000001","host","0xffffffff","USB","72","0000200000000000","URB_INTERRUPT in"
"2021-02-21 17:31:22.712750","1.9.1","0x00000001","host","0xffffffff","USB","72","0000270000000000","URB_INTERRUPT in"
"2021-02-21 17:31:23.312691","1.9.1","0x00000001","host","0xffffffff","USB","72","0000090000000000","URB_INTERRUPT in"
"2021-02-21 17:31:23.496691","1.9.1","0x00000001","host","0xffffffff","USB","72","0000060000000000","URB_INTERRUPT in"
"2021-02-21 17:31:43.881258","1.9.1","0x00000001","host","0xffffffff","USB","72","0000090000000000","URB_INTERRUPT in"
"2021-02-21 17:31:44.712706","1.9.1","0x00000001","host","0xffffffff","USB","72","0000200000000000","URB_INTERRUPT in"
"2021-02-21 17:31:45.488595","1.9.1","0x00000001","host","0xffffffff","USB","72","0000210000000000","URB_INTERRUPT in"
"2021-02-21 17:31:46.185240","1.9.1","0x00000001","host","0xffffffff","USB","72","0000040000000000","URB_INTERRUPT in"
"2021-02-21 17:31:47.240605","1.9.1","0x00000001","host","0xffffffff","USB","72","0000260000000000","URB_INTERRUPT in"
"2021-02-21 17:31:47.704536","1.9.1","0x00000001","host","0xffffffff","USB","72","0000230000000000","URB_INTERRUPT in"
"2021-02-21 17:31:48.225133","1.9.1","0x00000001","host","0xffffffff","USB","72","0000200000000000","URB_INTERRUPT in"
"2021-02-21 17:31:48.432673","1.9.1","0x00000001","host","0xffffffff","USB","72","0000210000000000","URB_INTERRUPT in"
"2021-02-21 17:31:49.544790","1.9.1","0x00000001","host","0xffffffff","USB","72","0200000000000000","URB_INTERRUPT in"
"2021-02-21 17:31:49.728698","1.9.1","0x00000001","host","0xffffffff","USB","72","0200300000000000","URB_INTERRUPT in"
"2021-02-21 17:31:49.785000","1.9.1","0x00000001","host","0xffffffff","USB","72","0200000000000000","URB_INTERRUPT in"
"2021-02-21 17:31:51.952684","1.9.1","0x00000001","host","0xffffffff","USB","72","00002c0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:52.785064","1.9.1","0x00000001","host","0xffffffff","USB","72","00000b0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:52.896694","1.9.1","0x00000001","host","0xffffffff","USB","72","0000040000000000","URB_INTERRUPT in"
"2021-02-21 17:31:53.024359","1.9.1","0x00000001","host","0xffffffff","USB","72","00000b0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:53.144320","1.9.1","0x00000001","host","0xffffffff","USB","72","0000040000000000","URB_INTERRUPT in"
"2021-02-21 17:31:53.256352","1.9.1","0x00000001","host","0xffffffff","USB","72","00000b0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:53.360451","1.9.1","0x00000001","host","0xffffffff","USB","72","0000040000000000","URB_INTERRUPT in"
"2021-02-21 17:31:53.496600","1.9.1","0x00000001","host","0xffffffff","USB","72","00000b0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:53.752665","1.9.1","0x00000001","host","0xffffffff","USB","72","00002c0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:54.144319","1.9.1","0x00000001","host","0xffffffff","USB","72","00000f0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:54.312518","1.9.1","0x00000001","host","0xffffffff","USB","72","0000120000000000","URB_INTERRUPT in"
"2021-02-21 17:31:54.440974","1.9.1","0x00000001","host","0xffffffff","USB","72","00000f0000000000","URB_INTERRUPT in"
"2021-02-21 17:31:55.001122","1.9.1","0x00000001","host","0xffffffff","USB","72","0000280000000000","URB_INTERRUPT in"
"2021-02-21 17:31:56.481296","1.9.1","0x00000001","host","0xffffffff","USB","72","0100000000000000","URB_INTERRUPT in"
"2021-02-21 17:31:56.544801","1.9.1","0x00000001","host","0xffffffff","USB","72","0100060000000000","URB_INTERRUPT in"
